"Property","Property label in Settings dialog","Description","Default value","Is read-only?","Is settable only as a Command line option?","Is encrypted?"
"sfdc.extractionSOQL","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","true","false","false"
"sfdc.formatPhoneFields","Format phone fields if the user locale is U.S. or Canada:
(For example, ""1112223333"" will be formatted as ""(111) 222-3333"")","","false","false","false","false"
"sfdc.insertNulls","Insert null values:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","false","false","false","false"
"sfdc.load.preserveWhitespaceInRichText","","Preserve whitespace in RichText fields to import by replacing space characters with '&nbsp;'.","true","true","false","false"
"sfdc.loadBatchSize","<a href=""{0}"">Import batch size</a>:
(max {1})","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","200","false","false","false"
"sfdc.maxRetries","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","3","true","false","false"
"sfdc.minRetrySleepSecs","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","2","true","false","false"
"sfdc.noCompression","Disable data compression during upload to the server:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","false","false","false","false"
"sfdc.oauth.Production.bulk.clientid","Client ID for Bulk API and Bulk API 2.0 in Production:","Salesforce Connected App id of data loader in Production when performing operations using Bulk API or Bulk v2 API. Details about Connected Apps documented at https://help.salesforce.com/s/articleView?id=sf.connected_app_overview.htm&type=5","DataLoaderBulkUI/","false","false","false"
"sfdc.oauth.Production.clientsecret","","Specify encrypted OAuth 2.0 client secret for Production.","","true","false","true"
"sfdc.oauth.Production.partner.clientid","Client ID for SOAP API in Production:","Salesforce Connected App id of data loader in Production when performing operations using SOAP API. Details about Connected Apps documented at https://help.salesforce.com/s/articleView?id=sf.connected_app_overview.htm&type=5","DataLoaderPartnerUI/","false","false","false"
"sfdc.oauth.Production.redirecturi","","OAuth redirect URI for Production environment","","true","false","false"
"sfdc.oauth.Sandbox.bulk.clientid","Client ID for Bulk API and Bulk API 2.0 in Sandbox:","Salesforce Connected App id of data loader in Sandbox when performing operations using Bulk API or Bulk v2 API. Details about Connected Apps documented at https://help.salesforce.com/s/articleView?id=sf.connected_app_overview.htm&type=5","DataLoaderBulkUI/","false","false","false"
"sfdc.oauth.Sandbox.clientsecret","","Specify encrypted OAuth 2.0 client secret for Sandbox.","","true","false","true"
"sfdc.oauth.Sandbox.partner.clientid","Client ID for SOAP API in Sandbox:","Salesforce Connected App id of data loader in Sandbox when performing operations using SOAP API. Details about Connected Apps documented at https://help.salesforce.com/s/articleView?id=sf.connected_app_overview.htm&type=5","DataLoaderPartnerUI/","false","false","false"
"sfdc.oauth.Sandbox.redirecturi","","OAuth redirect URI for Sandbox environment","","true","false","false"
"sfdc.oauth.loginfrombrowser","Enable OAuth login from browser:","","true","false","false","false"
"sfdc.password","","Specify encrypted password+security token pair. Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","true","false","true"
"sfdc.proxyHost","Proxy host:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","false"
"sfdc.proxyNtlmDomain","Proxy NTLM domain:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","false"
"sfdc.proxyPassword","Proxy password:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","true"
"sfdc.proxyPort","Proxy port:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","false"
"sfdc.proxyUsername","Proxy username:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","false"
"sfdc.resetUrlOnLogin","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","true","true","false","false"
"sfdc.reuseClientConnection","","Keep the client connection open across multiple server requests, thereby increasing operation speed.","true","true","false","false"
"sfdc.sortExtractionFields","Sort Salesforce object field names: 
when editing SOQL for Export","","true","false","false","false"
"sfdc.timeoutSecs","Server response timeout:
(in seconds)","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","540","false","false","false"
"sfdc.timezone","Time Zone:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","Europe/Dublin","false","false","false"
"sfdc.truncateFields","Allow field truncation:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","true","false","false","false"
"sfdc.ui.wizard.closeOnFinish","Close UI Wizard when an operation is completed:","If set to true, it closes UI Wizard dialog when the operation is completed. Set it to false if you want to perform the same operation multiple times.","true","false","false","false"
"sfdc.ui.wizard.finishStep.prepopulateWithPreviousOpResultsFolder","Pre-populate Results Folder input field in Finish step of UI Wizard:
 (use the folder chosen in the previous operation)","","true","false","false","false"
"sfdc.ui.wizard.height","","Height of UI wizard pages in pixels.","600","false","false","false"
"sfdc.ui.wizard.width","","Width of UI wizard pages in pixels.","600","false","false","false"
"sfdc.ui.wizard.xoffset","","x coordinate of UI wizard's top-left corner on the screen in pixels.","50","false","false","false"
"sfdc.ui.wizard.yoffset","","y coordinate of UI wizard's top-left corner on the screen in pixels.","50","false","false","false"
"sfdc.updateWithExternalId","Perform updates with an external id field:","Perform update operation using an idLookup field such as an external id field on a standard sobject or name field of a custom sobject. Make sure that the field values are unique to avoid duplicate record errors.","false","false","false","false"
"sfdc.useBulkApi","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","false","false","false","false"
"sfdc.useBulkV2Api","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","false","false","false","false"
"sfdc.useSysPropsForHttpClient","","Setting it to false will switch to legacy behavior (v42.0.0 or earlier). Setting it to true (default) is necessary for mTLS support using a client cert.","true","true","false","false"
"sfdc.username","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","false","false","false"
"sfdc.wireOutput","","Print request and response xml message on console when set to true.","false","true","false","false"
"sfdx.richtext.regex","","Regular expression to identify HTML tags in RichText fields so that whitespace characters inside HTML tags are not escaped using ""&nbsp;"".","<(?=[a-zA-Z/])(""[^""]*""|'[^']*'|[^'"">])*>","true","false","false"
